10.0	600000.0	30.0	300000.0	400000.0	100000.0	Fijo	12/12/12	12/12/12	Administrador
3243.0	500000.0	25.0	250000.0	350000.0	90000.0	Fijo	11/11/11	11/11/11	Contador
56789.0	550000.0	28.0	280000.0	380000.0	95000.0	Fijo	10/10/10	10/10/10	Secretario
901234.0	620000.0	32.0	320000.0	420000.0	105000.0	Fijo	09/09/09	09/09/09	Vigilante
112233.0	580000.0	29.0	290000.0	390000.0	98000.0	Fijo	08/08/08	08/08/08	Asesor
345678.0	630000.0	33.0	330000.0	430000.0	106000.0	Fijo	07/07/07	07/07/07	Administrador
56789.0	570000.0	31.0	310000.0	410000.0	102000.0	Fijo	06/06/06	06/06/06	Contador
789012.0	600000.0	30.0	300000.0	400000.0	100000.0	Fijo	05/05/05	05/05/05	Secretario
901234.0	580000.0	29.0	290000.0	390000.0	98000.0	Fijo	04/04/04	04/04/04	Vigilante
112233.0	640000.0	34.0	340000.0	440000.0	108000.0	Fijo	03/03/03	03/03/03	Asesor
3243.0	590000.0	29.0	290000.0	390000.0	98000.0	Fijo	02/02/02	02/02/02	Administrador
56789.0	620000.0	32.0	320000.0	420000.0	105000.0	Fijo	01/01/01	01/01/01	Contador
789012.0	570000.0	31.0	310000.0	410000.0	102000.0	Fijo	12/12/00	12/12/00	Secretario
901234.0	630000.0	33.0	330000.0	430000.0	106000.0	Fijo	11/11/99	11/11/99	Vigilante
112233.0	610000.0	32.0	320000.0	420000.0	105000.0	Fijo	10/10/98	10/10/98	Asesor
345678.0	600000.0	30.0	300000.0	400000.0	100000.0	Fijo	09/09/97	09/09/97	Administrador
56789.0	570000.0	31.0	310000.0	410000.0	102000.0	Fijo	08/08/96	08/08/96	Contador
789012.0	620000.0	32.0	320000.0	420000.0	105000.0	Fijo	07/07/95	07/07/95	Secretario
901234.0	580000.0	29.0	290000.0	390000.0	98000.0	Fijo	06/06/94	06/06/94	Vigilante
112233.0	630000.0	33.0	330000.0	430000.0	106000.0	Fijo	05/05/93	05/05/93	Asesor
45.0	555.0	4345.0	45.0	45.0	334.0	333	334	33	Administrador
